OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351454,232821661,10/10/2023 8:15:19 AM,10/10/2023 1:30:00 AM,10/11/2023 3:05:00 AM,Monday,2,3,305,177 MOURY AVE SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.390301,33.713509,The Villages at Carver,Y,1,Part II,1,5f838543-cdaf-48a1-8a6a-f17932c6edd6,-84.390301,33.713509
351458,232830116,10/10/2023 8:15:25 AM,10/10/2023 5:16:00 AM,10/10/2023 8:00:00 AM,Tuesday,3,6,602,350 MORELAND AVE NE,Service/ Gas Station,23C,Shoplifting,PROPERTY,N,,,Morning Watch,-84.349701,33.763773,Inman Park,N,2,Part I,,1a721726-e02d-4d46-a288-04f8c27dc6a7,-84.349701,33.7637730000001
351459,232830216,10/10/2023 8:24:00 AM,10/10/2023 6:48:00 AM,10/10/2023 6:48:00 AM,Tuesday,3,3,310,2612 STEELE AVE SW,Highway/ Road/ Alley/ Street/ Sidewalk,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.396057,33.68193,Browns Mill Park,Z,12,Part I,1,26926365-662d-42e9-b42d-f8b4697a53f9,-84.396057,33.6819300000001
351460,232830267,10/10/2023 8:48:24 AM,10/10/2023 7:32:00 AM,10/10/2023 8:48:00 AM,Tuesday,3,3,308,1091 REBEL FOREST DR SE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.356391,33.686129,Rebel Valley Forest,Z,1,Part II,2,e1f9330a-ca0d-434a-bc80-e00fd81f5fff,-84.356391,33.6861290000001
351463,232830085,10/10/2023 10:00:50 AM,10/10/2023 1:36:00 AM,10/10/2023 6:56:00 AM,Monday,2,1,104,343 JOSEPH E LOWERY BLVD SW,Service/ Gas Station,13A,Aggravated Assault,PERSON,Y,,,Evening Watch,-84.417823,33.745697,Ashview Heights,T,4,Part I,1,4d302a1b-a704-42db-94bd-c5a8119ffb71,-84.4178229999999,33.7456970000001
351472,232821507,10/10/2023 10:16:44 AM,10/10/2023 12:30:00 AM,10/10/2023 4:30:00 AM,Monday,2,1,112,711 INDIGO LN NW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.480713,33.773802,Collier Heights,I,9,Part I,1,380f8d36-3a0b-4b17-a2aa-36e5ddab2f94,-84.480713,33.773802
351466,232830370,10/10/2023 10:32:30 AM,,,Tuesday,3,1,110,1720 JASMINE CIR NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.44792,33.79271,West Highlands,G,9,Part II,1,1f41e705-e7b9-4434-8256-51aea35863f9,-84.44792,33.7927100000001
351465,232821705,10/10/2023 10:44:36 AM,10/10/2023 3:30:00 AM,10/10/2023 3:50:00 AM,Monday,2,6,612,1205 METROPOLITAN AVE SE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.348045,33.741468,East Atlanta,W,5,Part II,1,9f362311-90e7-48bb-87c4-d2dc1a738e4d,-84.348045,33.7414680000001
351464,232835006,10/10/2023 11:22:09 AM,10/6/2023 12:16:00 AM,10/6/2023 12:27:00 AM,Thursday,5,5,512,226 PEACHTREE ST SW,Residence/ Home / Apartment / Condo,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.394417,33.748137,Downtown,M,4,Part II,1,ab26a4d2-4901-40e1-a847-500f114f2b80,-84.394417,33.748137
351469,232835007,10/10/2023 11:42:08 AM,9/15/2023 7:00:00 PM,9/28/2023 6:50:00 PM,Friday,6,6,613,1989 CHESHIRE BRIDGE RD NE,Residence/ Home / Apartment / Condo,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.357982,33.810533,Morningside/Lenox Park,F,6,Part II,,7617ddc5-5670-41e6-bc7b-302b687bc371,-84.3579819999999,33.8105330000001
351470,232830433,10/10/2023 11:43:57 AM,10/10/2023 11:15:00 AM,10/10/2023 11:44:00 AM,Tuesday,3,1,107,687 S EVELYN PL NW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.445441,33.773786,Grove Park,J,9,Part II,1,2e6ef129-4a39-43af-86bb-c62f4cb4b27c,-84.445441,33.773786
351467,232830405,10/10/2023 11:48:06 AM,10/9/2023 3:59:00 PM,10/10/2023 10:49:00 AM,Monday,2,1,110,1710 WILMA DR NW,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.447572,33.79182,West Highlands,G,9,Part I,1,38ac0b63-673d-448a-804c-76e439ae744b,-84.447572,33.79182
351473,232830448,10/10/2023 12:17:14 PM,10/10/2023 11:28:00 AM,10/10/2023 11:28:00 AM,Tuesday,3,4,410,1870 MYRTLE DR SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.454856,33.704759,Campbellton Road,R,11,Part I,1,697d9850-cf5f-4c26-9922-0a073efda9b5,-84.4548559999999,33.704759
351468,232835008,10/10/2023 12:22:12 PM,10/8/2023 6:40:00 AM,10/8/2023 8:27:00 PM,Sunday,1,2,206,41 IRBY AVE NW,Bar/ Nightclub,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Morning Watch,-84.380256,33.841553,South Tuxedo Park,B,8,Part II,1,1b48b528-8ae5-4cd4-b2f7-fad3711794e0,-84.380256,33.841553
351471,232838016,10/10/2023 12:24:04 PM,10/10/2023 10:29:00 AM,10/10/2023 1:30:00 PM,Tuesday,3,7,703,8700 SPINE RD,Air/ Bus/ Train Terminal,35A,Drug/Narcotic Violations,SOCIETY,N,,,Day Watch,-84.439199,33.640881,,,,Part II,,06b757b0-1182-4645-bd93-f5c0f17d0632,-84.439199,33.640881
351491,232830431,10/10/2023 12:37:22 PM,10/10/2023 6:00:00 AM,10/10/2023 10:59:00 AM,Tuesday,3,4,407,951 AMBIENT WAY SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.502272,33.747226,Mays,H,10,Part I,1,99d20320-f33b-4f1d-b11d-47067cfdc288,-84.5022719999999,33.7472260000001
351642,232830431,10/10/2023 12:37:22 PM,10/10/2023 6:00:00 AM,10/10/2023 10:59:00 AM,Tuesday,3,4,407,951 AMBIENT WAY SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.502272,33.747226,Mays,H,10,Part II,1,c7168a38-0e50-4efd-9f72-415b902499a6,-84.5022719999999,33.7472260000001
351499,232830380,10/10/2023 12:37:36 PM,10/10/2023 2:00:00 AM,10/10/2023 11:00:00 AM,Monday,2,1,110,1073 HOLLYWOOD RD NW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.460297,33.784281,Almond Park,G,9,Part I,1,d9dac085-e017-4034-a3fc-854c789ec9be,-84.460297,33.7842810000001
351500,232830380,10/10/2023 12:37:36 PM,10/10/2023 2:00:00 AM,10/10/2023 11:00:00 AM,Monday,2,1,110,1073 HOLLYWOOD RD NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.460297,33.784281,Almond Park,G,9,Part II,1,14309528-da3f-49af-a73c-3c20d9ab8c70,-84.460297,33.7842810000001
351478,232790951,10/10/2023 12:48:55 PM,9/15/2023 6:20:00 PM,10/15/2023 7:00:00 PM,Friday,6,2,206,2900 PEACHTREE RD NW,Parking/ Drop Lot/ Garage,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.383802,33.835102,Peachtree Heights West,B,8,Part II,1,36f0c59a-1612-40e5-bf40-cb3f6c1c6f8e,-84.3838019999999,33.8351020000001
351485,232830545,10/10/2023 12:49:20 PM,9/27/2023 12:00:00 AM,9/27/2023 4:00:00 AM,Tuesday,3,5,508,123 MARIETTA ST NW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.392722,33.757421,Downtown,M,2,Part I,2,a803db76-418d-4cd8-90c6-c58dd4c76d16,-84.3927219999999,33.7574210000001
351496,232838019,10/10/2023 12:51:42 PM,6/25/2023 4:00:00 AM,6/28/2023 4:00:00 AM,Sunday,1,7,707,4340 GLOBAL GATEWAY CONN,Air/ Bus/ Train Terminal,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Morning Watch,-84.466298,33.638308,,,,Part II,,be1034f8-e884-452c-8235-2ac67a19b8e1,-84.4662979999999,33.6383080000001
351497,232835009,10/10/2023 1:02:16 PM,10/7/2023 2:55:00 AM,10/7/2023 2:55:00 AM,Friday,6,6,613,1845 PIEDMONT AVE NE,Other/Unknown,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.366262,33.806222,Morningside/Lenox Park,F,6,Part II,1,29a1baa9-5c97-47da-9b48-99c7ed86cd4f,-84.3662619999999,33.806222
351501,232830566,10/10/2023 1:06:30 PM,10/8/2023 6:00:00 AM,10/8/2023 1:30:00 PM,Sunday,1,6,613,1989 CHESHIRE BRIDGE RD NE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.357967,33.810533,Morningside/Lenox Park,F,6,Part I,1,6cd32cb0-eccd-431e-9b47-61d9f8b32659,-84.357967,33.8105330000001
351486,232830502,10/10/2023 1:12:33 PM,10/10/2023 1:00:00 AM,10/10/2023 12:00:00 PM,Monday,2,1,110,1073 HOLLYWOOD RD NW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.460297,33.784281,Almond Park,G,9,Part I,1,6df14d8a-1da3-4536-928e-af53e7c112fe,-84.460297,33.7842810000001
351474,232830580,10/10/2023 1:41:02 PM,10/10/2023 5:00:00 AM,10/10/2023 6:30:00 AM,Tuesday,3,2,210,925 CANTERBURY RD NE,Residence/ Home / Apartment / Condo,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Morning Watch,-84.358043,33.825072,Pine Hills,B,7,Part II,1,c0918686-69db-4a06-be13-2db66c69500f,-84.358043,33.825072
351502,232838020,10/10/2023 1:44:05 PM,12/11/2022 5:00:00 AM,12/15/2022 5:00:00 AM,Sunday,1,7,707,4340 GLOBAL GATEWAY CONN,Air/ Bus/ Train Terminal,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Morning Watch,-84.466298,33.638308,,,,Part II,,2a4edb95-b89d-4dca-bcfb-6b81de6e6ac6,-84.4662979999999,33.6383080000001
351481,232830579,10/10/2023 1:45:34 PM,10/10/2023 1:14:00 AM,10/10/2023 1:04:00 PM,Monday,2,6,601,609 VIRGINIA AVE NE,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.365836,33.781297,Virginia Highland,F,6,Part I,1,83d70ed8-c9c4-44eb-9432-cd8a6f89bc95,-84.3658359999999,33.7812970000001
351492,232830540,10/10/2023 1:47:27 PM,10/9/2023 9:00:00 PM,10/9/2023 10:30:00 PM,Monday,2,2,209,3802 ROSWELL RD NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.381115,33.858501,East Chastain Park,B,8,Part I,1,1cd2cf56-6f38-41bd-9203-517af9a7dbda,-84.381115,33.858501
351503,232830558,10/10/2023 1:52:13 PM,10/10/2023 3:00:00 AM,10/10/2023 12:00:00 PM,Monday,2,6,603,472 LATTA ST NE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Morning Watch,-84.372743,33.767246,Old Fourth Ward,M,2,Part I,1,9713ccac-09b5-4b88-bdb2-d49b0e07658a,-84.372743,33.7672460000001
351505,232830586,10/10/2023 1:58:33 PM,10/8/2023 1:00:00 PM,10/10/2023 1:00:00 PM,Sunday,1,4,407,405 FAIRBURN RD SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.513466,33.744593,Wildwood (NPU-H),H,10,Part I,1,b9cded1d-d7e2-4740-8165-6697b08df81b,-84.5134659999999,33.7445930000001
