NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
Motor Vehicle Theft,10/10/2023 2:20:22 PM,222 TUSKEGEE ST SE,1.0,PROPERTY,N,-84.381369,33.728506,0.2331
Motor Vehicle Theft,10/10/2023 2:30:48 PM,1769 S GORDON ST SW,1.0,PROPERTY,N,-84.445525,33.739955,0.2331
Theft From Motor Vehicle,10/10/2023 2:35:58 PM,1080 COLQUITT AVE NE,2.0,PROPERTY,N,-84.351514,33.766002,0.0999
Burglary/Breaking & Entering,10/10/2023 3:07:57 PM,57 HARDWICK ST SE,0.0,PROPERTY,N,-84.385496,33.709843,0.1998
Shoplifting,10/10/2023 3:37:07 PM,650 NORTH AVE NE,0.0,PROPERTY,N,-84.364817,33.771252,0.1332
Burglary/Breaking & Entering,10/10/2023 3:46:49 PM,1158 WELCH ST SW,1.0,PROPERTY,N,-84.404592,33.723344,0.1998
Theft From Building,10/10/2023 3:57:12 PM,1315 NORTHWEST DR NW,0.0,PROPERTY,N,-84.478369,33.792336,0.1332
Theft From Motor Vehicle,10/10/2023 4:21:06 PM,44 KROG ST NE,1.0,PROPERTY,N,-84.364275,33.754708,0.0999
Motor Vehicle Theft,10/10/2023 4:26:18 PM,100 PEYTON PL SW,1.0,PROPERTY,N,-84.476106,33.751902,0.2331
Destruction/Damage/Vandalism of Property,10/10/2023 4:33:27 PM,990 TOFFIE TER,0.0,PROPERTY,N,-84.431498,33.656722,0.1665
Robbery,10/10/2023 4:45:07 PM,175 LAKEWOOD WAY SW,1.0,PROPERTY,Y,-84.396081,33.704093,0.6327
Motor Vehicle Theft,10/10/2023 4:45:16 PM,2176 DONALD LEE HOLLOWELL PKWY NW,2.0,PROPERTY,N,-84.457234,33.776415,0.2331
Destruction/Damage/Vandalism of Property,10/10/2023 4:45:16 PM,2176 DONALD LEE HOLLOWELL PKWY NW,2.0,PROPERTY,N,-84.457234,33.776415,0.1665
Wire Fraud,10/10/2023 4:49:28 PM,965 MEMORIAL DR SE,0.0,PROPERTY,N,-84.356027,33.746438,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 5:04:15 PM,1750 COMMERCE DR NW,0.0,PROPERTY,N,-84.411849,33.803246,0.1665
Motor Vehicle Theft,10/10/2023 5:08:34 PM,865 SOCIETY CIR SW,1.0,PROPERTY,N,-84.500211,33.747296,0.2331
Shoplifting,10/10/2023 5:11:22 PM,375 18TH ST NW,0.0,PROPERTY,N,-84.399207,33.793027,0.1332
Drug/Narcotic Violations,10/10/2023 5:11:45 PM,1846 NORTH AVE NW,0.0,SOCIETY,N,-84.447374,33.768238,0.1665
Theft From Motor Vehicle,10/10/2023 5:17:01 PM,1881 HONEYSUCKLE LN SW,1.0,PROPERTY,N,-84.453055,33.707836,0.0999
Shoplifting,10/10/2023 5:18:52 PM,1142 EUCLID AVE NE,0.0,PROPERTY,N,-84.350177,33.764794,0.1332
Destruction/Damage/Vandalism of Property,10/10/2023 5:20:28 PM,1650 SULLIVAN RD,0.0,PROPERTY,N,-84.446558,33.629032,0.1665
Theft From Building,10/10/2023 5:23:09 PM,6000 N TERMINAL PKWY,1.0,PROPERTY,N,-84.444368,33.640311,0.1332
All Other Larceny,10/10/2023 5:23:09 PM,6000 N TERMINAL PKWY,0.0,PROPERTY,N,-84.444368,33.640311,0.1665
All Other Larceny,10/10/2023 5:46:33 PM,925 HANK AARON DR SW,0.0,PROPERTY,N,-84.388394,33.729359,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 6:15:11 PM,860 GLENWOOD AVE SE,1.0,PROPERTY,N,-84.359738,33.740366,0.1665
Theft From Building,10/10/2023 6:36:06 PM,1010 PALMETTO AVE SW,1.0,PROPERTY,N,-84.420862,33.751644,0.1332
Drug/Narcotic Violations,10/10/2023 6:41:05 PM,1100 MORELAND PL SE,0.0,SOCIETY,N,-84.351397,33.738564,0.1665
Drug/Narcotic Violations,10/10/2023 7:29:24 PM,TED TURNER DR NW / IVAN ALLEN JR BLVD NW,0.0,SOCIETY,N,-84.388966,33.764673,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 7:32:04 PM,860 GLENWOOD AVE SE,1.0,PROPERTY,N,-84.359738,33.740366,0.1665
Drug/Narcotic Violations,10/10/2023 7:34:33 PM,495 GLENWOOD AVE SE,0.0,SOCIETY,N,-84.371704,33.742877,0.1665
Simple Assault,10/10/2023 7:36:41 PM,231 GLENROSE CIR SW,1.0,PERSON,N,-84.39621,33.670618,0.1332
